id,pharmacy_code,name,business_registration_number,address,remarks,status,created_at,updated_at
243,"",대학약국,793-41-00648,"서울특별시 강서구 화곡로 152, CUBE152 2,4층 (화곡동)","",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
244,"",나나약국,321-20-02223,경기도 하남시 미사강변대로,"",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
245,"",미사보룡약국,455-39-01193,경기도 하남시 미사강변대로,"",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
246,"",명가한약국,703-90-00342,경기도 하남시 미사강변대로226번길,"",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
247,"",종로밝은약국,294-78-00429,서울특별시 종로구 종로,"",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
248,"",종로세란약국,201-09-21066,서울특별시 종로구 종로41길,"",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
249,"",바른약국(동대문),147-56-00529,서울특별시 동대문구 사가정로,"",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
250,"",녹십자약국,127-09-31946,서울특별시 영등포구 대림로,"",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
251,"",삼정약국,312-17-36694,경기도 군포시 산본로323번길,"",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
252,"",역곡큰약국,840-29-00786,경기도 부천시 소사구 경인로,"",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
253,"",우정약국,121-05-59685,경기도 부천시 소사구  경인로,"",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
254,"",안약국,123-37-04208,경기도 부천시 소사구 경인로,"",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
255,"",봄약국,132-23-42441,서울특별시 종로구 지봉로,"",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
256,"",연신내로데오약국,548-34-01675,서울특별시 은평구 연서로,"",active,2025-07-21 06:05:14.157353+00,2025-07-21 06:05:14.157353+00
